HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.objects_to_find,Input.image_url,Answer.annotation_data,Answer.label,Approve,Reject
33J5JKFMK68TEZ22GT6EGOLJTNR3QM,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,33PPUNGG39FXXDMP4HVODZVN71EZR7,AATL9DKBHXYW9,Submitted,Mon Aug 28 16:24:19 PDT 2017,Mon Aug 28 16:24:29 PDT 2017,Sat Sep 02 16:24:29 PDT 2017,,,,10,0% (0/0),0% (0/0),0% (0/0),Tail,class01_subclass15/SPCBench-1487095912-000000-001-492-2496-80-160-.png,"[{""left"":107,""top"":152,""width"":1,""height"":1,""label"":""head""}]",Head,,
33J5JKFMK68TEZ22GT6EGOLJTNR3QM,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,3DEL4X4EL7VHPJYWHUZXOA892OWYXC,APLQSM4J9E6LR,Submitted,Mon Aug 28 16:27:21 PDT 2017,Mon Aug 28 16:27:29 PDT 2017,Sat Sep 02 16:27:29 PDT 2017,,,,8,0% (0/0),0% (0/0),0% (0/0),Tail,class01_subclass15/SPCBench-1487095912-000000-001-492-2496-80-160-.png,"[{""left"":110,""top"":156,""width"":1,""height"":1,""label"":""head""}]",Head,,
33J5JKFMK68TEZ22GT6EGOLJTNR3QM,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,3DYGAII7PMI3785J4T8MHBJ41G6QPD,A18VXKX5URAA4G,Submitted,Mon Aug 28 16:26:41 PDT 2017,Mon Aug 28 16:26:53 PDT 2017,Sat Sep 02 16:26:53 PDT 2017,,,,12,67% (2/3),67% (2/3),0% (0/1),Tail,class01_subclass15/SPCBench-1487095912-000000-001-492-2496-80-160-.png,"[{""left"":109,""top"":163,""width"":1,""height"":1,""label"":""head""}]",Head,,
33J5JKFMK68TEZ22GT6EGOLJTNR3QM,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,3HL8HNGX46BLOWZ39O1VJMFBPAG9F8,AH4SMMFHDHK1L,Submitted,Mon Aug 28 16:28:19 PDT 2017,Mon Aug 28 16:28:32 PDT 2017,Sat Sep 02 16:28:32 PDT 2017,,,,13,100% (9/9),100% (9/9),100% (2/2),Tail,class01_subclass15/SPCBench-1487095912-000000-001-492-2496-80-160-.png,"[{""left"":109,""top"":159,""width"":1,""height"":1,""label"":""head""},{""left"":107,""top"":175,""width"":1,""height"":1,""label"":""head""},{""left"":104,""top"":192,""width"":1,""height"":1,""label"":""head""},{""left"":103,""top"":205,""width"":1,""height"":1,""label"":""head""}]",Head,,
33J5JKFMK68TEZ22GT6EGOLJTNR3QM,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,3SITXWYCNWJLCB5L72LDGZA8HFFXBX,A11NUW5OVADGYU,Submitted,Mon Aug 28 16:32:13 PDT 2017,Mon Aug 28 16:32:23 PDT 2017,Sat Sep 02 16:32:23 PDT 2017,,,,10,100% (20/20),100% (20/20),100% (20/20),Tail,class01_subclass15/SPCBench-1487095912-000000-001-492-2496-80-160-.png,"[{""left"":108,""top"":166,""width"":1,""height"":1,""label"":""head""}]",Head,,
3W1K7D6QSBR7VM76II4XP0VZMIOZB2,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,33OOO72IVIVX5ZO7GSGB2GVKM4QTCG,ARYZPEQN1ZW39,Submitted,Mon Aug 28 16:26:39 PDT 2017,Mon Aug 28 16:26:45 PDT 2017,Sat Sep 02 16:26:45 PDT 2017,,,,6,0% (0/0),0% (0/0),0% (0/0),Tail,class01_subclass15/SPCBench-1487095912-000003-000-480-2508-128-152-.png,"[{""left"":101,""top"":172,""width"":1,""height"":1,""label"":""head""}]",Head,,
3W1K7D6QSBR7VM76II4XP0VZMIOZB2,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,36PW28KO4067N19C6JVPXZ5VJRKEAB,A17J0474Q0IB0,Submitted,Mon Aug 28 16:35:19 PDT 2017,Mon Aug 28 16:35:23 PDT 2017,Sat Sep 02 16:35:23 PDT 2017,,,,4,0% (0/0),0% (0/0),0% (0/0),Tail,class01_subclass15/SPCBench-1487095912-000003-000-480-2508-128-152-.png,"[{""left"":105,""top"":148,""width"":1,""height"":1,""label"":""head""}]",Head,,
3W1K7D6QSBR7VM76II4XP0VZMIOZB2,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,3SITXWYCNWJLCB5L72LDGZA8HFDXBV,A3N76F2ZPQETH5,Submitted,Mon Aug 28 16:23:30 PDT 2017,Mon Aug 28 16:23:38 PDT 2017,Sat Sep 02 16:23:38 PDT 2017,,,,8,100% (1/1),100% (1/1),100% (1/1),Tail,class01_subclass15/SPCBench-1487095912-000003-000-480-2508-128-152-.png,"[{""left"":93,""top"":204,""width"":1,""height"":1,""label"":""head""}]",Head,,
3W1K7D6QSBR7VM76II4XP0VZMIOZB2,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,3SITXWYCNWJLCB5L72LDGZA8HFFBXB,A11NUW5OVADGYU,Submitted,Mon Aug 28 16:30:37 PDT 2017,Mon Aug 28 16:30:46 PDT 2017,Sat Sep 02 16:30:46 PDT 2017,,,,9,100% (20/20),100% (20/20),100% (20/20),Tail,class01_subclass15/SPCBench-1487095912-000003-000-480-2508-128-152-.png,"[{""left"":100,""top"":167,""width"":1,""height"":1,""label"":""head""}]",Head,,
3W1K7D6QSBR7VM76II4XP0VZMIOZB2,3G0DIRF6ZYHAQ6H372P1T5L691H95F,Locate tail in a image of copepod,You will be shown an image of copepod and asked to annotate the tail. Please annotate the tail by clicking the mouse on the most confident area. Please do not draw a box. Only one tail location is needed,"image, locate, annotation",$0.01 ,Mon Aug 28 15:43:23 PDT 2017,5,BatchId:2920791;OriginalHitTemplateId:920937336;,120,432000,Mon Sep 04 15:43:23 PDT 2017,,,3U84XHCDIDNQW7KRT5ZB56KDFNY4ZX,AZTVB60NANAQ3,Submitted,Mon Aug 28 16:37:11 PDT 2017,Mon Aug 28 16:37:16 PDT 2017,Sat Sep 02 16:37:16 PDT 2017,,,,5,0% (0/0),0% (0/0),0% (0/0),Tail,class01_subclass15/SPCBench-1487095912-000003-000-480-2508-128-152-.png,"[{""left"":105,""top"":155,""width"":1,""height"":1,""label"":""head""}]",Head,,
